[2023-06-26 23:53:07] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:08] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:08] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:08] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:08] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:08] [WARN] - Klassengruppe INF16A bereits vorhanden
[2023-06-26 23:53:09] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:09] [WARN] - Klassengruppe ELT15A bereits vorhanden
[2023-06-26 23:53:09] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:10] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:10] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:10] [WARN] - Klassengruppe PKB15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PMG16B bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PRM16B bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PRM16C bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe KOE16A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe AUM15A bereits vorhanden
[2023-06-26 23:53:11] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe REF16B bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PRM17B bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe AUF16B bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe KOE17A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe BM2_TE18B bereits vorhanden
[2023-06-26 23:53:12] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:13] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:13] [WARN] - Klassengruppe PKB15A bereits vorhanden
[2023-06-26 23:53:13] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:13] [WARN] - Klassengruppe IJBV18C bereits vorhanden
[2023-06-26 23:53:13] [WARN] - Klassengruppe KUA17A bereits vorhanden
[2023-06-26 23:53:14] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:14] [WARN] - Klassengruppe AUF16A bereits vorhanden
[2023-06-26 23:53:14] [WARN] - Klassengruppe AUF16B bereits vorhanden
[2023-06-26 23:53:14] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:15] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:15] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:15] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe AUF16B bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe DRO15A bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:16] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe KUA18A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe INF16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe AUM15A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe AUF16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PRM16B bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe INF15S bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PMG15B bereits vorhanden
[2023-06-26 23:53:17] [WARN] - Klassengruppe PRM16C bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe KOE16B bereits vorhanden
